defect,support,precision,recall,f1,ap
abstract,199,0.7927927927927928,0.8844221105527639,0.836104513064133,0.8438664326361685
artifacts,72,0.28415300546448086,0.7222222222222222,0.40784313725490196,0.33628441523017527
intersection,18,0.0,0.0,0.0,0.08177872942876706
lowpoly,185,0.7272727272727273,0.5621621621621622,0.6341463414634146,0.7078504843992783
noisy,424,0.849009900990099,0.8089622641509434,0.8285024154589372,0.9114640069240529
open,91,0.3176470588235294,0.2967032967032967,0.3068181818181818,0.27632367733135166
partial,62,0.5925925925925926,0.5161290322580645,0.5517241379310345,0.5929721181427984
scale,17,0.2916666666666667,0.4117647058823529,0.34146341463414637,0.25620560810519366
set,156,0.49361702127659574,0.7435897435897436,0.5933503836317136,0.7023362057356786
simple,322,0.6405405405405405,0.7360248447204969,0.684971098265896,0.7433148718081627
