split,model,variant,f1_quality,f1_defects_weighted,f1_final,good_rejected,bad_accepted,weighted_ap
calibration,baseline,0.5,0.5029239766081871,0.5889181541559098,10.918421307640969,57,283,0.6834841626760264
calibration,baseline,tuned,0.6509635974304069,0.6399597897233941,12.909233871538008,77,86,0.6834841626760264
check,baseline,0.5,0.4805755395683453,0.5765300585636661,10.571055981320114,62,299,0.6693044318369223
check,baseline,tuned,0.5594989561586639,0.6123997869128047,11.718987430714684,95,116,0.6693044318369223
calibration,geometry,0.5,0.3723404255319149,0.42708662666615954,7.994270521980744,54,536,0.5247617939921121
calibration,geometry,tuned,0.44889779559118237,0.5048863467064056,9.53784142297588,117,158,0.5247617939921121
check,geometry,0.5,0.37668161434977576,0.4169269064984309,7.9360852084820666,61,495,0.5173504327529218
check,geometry,tuned,0.40824742268041236,0.4793614413707487,8.876088640511611,130,157,0.5173504327529218
calibration,patch_ensemble,0.5,0.6178343949044586,0.6559528727709588,12.737872676754174,35,205,0.7460408779413629
calibration,patch_ensemble,tuned,0.7473903966597077,0.6962245036126197,14.436149002723276,50,71,0.7460408779413629
check,patch_ensemble,0.5,0.5921052631578947,0.6351820264467352,12.272872896046298,49,199,0.7284631641574009
check,patch_ensemble,tuned,0.6455696202531646,0.6762012832739724,13.217709035271369,76,92,0.7284631641574009
